raw_component_name,id
IB_UAT_fcdbMServer1:17501,component_name_642
IB_UAT_fcdbMServer2:17502,component_name_537
IB_UAT_fcdbMServer3:17503,component_name_1277
INCHEQS,component_name_481
JobStep,component_name_531
KBZ-PRD-DB-SYSDB,component_name_168
KBZ-PRD-DB-SYSDB:35015,component_name_16
KBZ-PRD-DB-TENANTDB,component_name_167
KBZ-Project,component_name_95
KBZAPIRDAT_DATALAR,component_name_1187
KBZDBDC_DB_Node1,component_name_712
KBZDBDC_DB_Node2,component_name_645
KBZDBDC_RAC:1580,component_name_410
KBZDC_ESX_METRODATA_SC,component_name_166
KBZDC_ESX_METRODATA_SC [b0525fc7-9159-46d2-8de3-2273491e05f9],component_name_1367
KBZDC_ESX_SANDATA_MS4,component_name_172
KBZDC_ESX_SANDATA_MS4 [96a3cad8-f856-4f0e-96b5-5da0d9163802],component_name_1369
KBZDWH:1580,component_name_404
KBZPRDDCPDB,component_name_654
KBZREPS_DATA,component_name_1046
KBZREPS_DATA_159.dbf,component_name_696
KBZT,component_name_29
Kubernetes,component_name_4
LOG_ARCHIVE_DEST_1,component_name_1105
LOG_ARCHIVE_DEST_2,component_name_492
LOG_ARCHIVE_DEST_3,component_name_491
LOG_ARCHIVE_DEST_4,component_name_357
LOG_ARCHIVE_DEST_5,component_name_458
LogPool,component_name_122
LogPool\Summary,component_name_1339
MO-DB01:5432,component_name_1281
MO-DB02,component_name_177
Microsoft,component_name_63
Multi-block,component_name_1072
NETBKP-KBZDC,component_name_194
NETBKP-KBZDC-01,component_name_182
NETBKP-KBZDC-01/3d,component_name_1381
NETBKP-KBZDC-01/node2_Oracle_Backup,component_name_1373
NETBKP-KBZDC-01/node2_aggr2,component_name_1380
NETBKP-KBZDC-02,component_name_1222
NETBKP-KBZDR-01,component_name_216
NETBKP-KBZDR-01/3d,component_name_1404
NETBKP-KBZDR-02,component_name_217
NETBKP-KBZDR-02/3d,component_name_1405
NETDC-CL-01,component_name_193
NETDC-CL-01/dcn1_aggr1_mirror,component_name_1379
NETDC-CL-02,component_name_192
NETDC-CL-02/dcn2_aggr1,component_name_1378
NewApp,component_name_781
NewCoreBankingProdEnv,component_name_234
New_CB_CDB,component_name_128
New_CB_CDB/New_CB_DB,component_name_184
New_CB_CDB:1665:KBZPRDDC,component_name_391
New_CB_CDB_DR,component_name_65
New_CB_CDB_DR:1665:kbzprddcdr,component_name_1092
New_CB_DB,component_name_127
New_CB_DB:1665:kbzprddcpdb,component_name_356
New_CB_DB_DR,component_name_66
New_CB_DB_DR/New_CB_CDB_DR,component_name_181
New_CB_DB_DR:1665:kbzprddcpdb,component_name_435
OFSAA_DB_Node_7,component_name_151
OFSAA_DB_Node_8,component_name_149
ONPREM_KBZPRDDCPDB_PDB,component_name_46
